yfinance,twstock
3704,3685
2748,8111
2455,5489
1605,5536
2441,2745
2605,6113
1720,3264
3380,8433
4999,3324
2509,3221
8110,6125
3057,5603
6415,3666
6277,6523
6790,4563
6451,3290
1539,4127
3413,5213
1808,5490
2809,5457
2368,6140
4106,1570
1233,3205
1727,6121
2459,6023
4588,6185
8070,3402
3004,4502
1476,6016
1536,6147
1522,5245
3014,6640
00639,4416
2444,8087
3447,6161
3019,3297
6952,5014
1436,6265
3059,6210
2371,5514
6177,8938
3714,6223
6206,3479
6719,6020
2239,5355
3504,5289
2049,3323
00700,6171
3035,3522
8213,1569
6573,3259
1307,5310
2364,5209
1409,4175
3576,3202
3027,3264
6550,6548
2355,3465
1440,5206
00920,3105
4766,8908
6505,4198
2103,4979
3015,3521
6753,5443
4566,3171
6645,8086
1416,4205
4119,5488
1725,8277
6239,6612
2706,8444
2537,3577
3705,8071
3026,3224
2355,6118
4915,3176
4961,3537
9802,3234
00918,4907
6756,6220
2727,8923
3711,5274
6789,5481
2633,5520
2017,3499
8039,3564
00739,3272
5306,6217
9934,6291
2247,3147
6153,9950
00770,4804
2352,3118
2387,6173
2024,3630
3022,4924
6706,4991
00728,4513
1463,1599
8104,4529
2321,3322
2408,3555
2915,3115
2888,3287
1468,6146
5546,5348
2851,5291
4807,5410
5471,8064
2845,6240
4919,3260
6196,3213
1786,6121
3416,6163
2387,3211
1102,6229
2010,3265
1530,8942
2478,8936
6164,8424
6591,5704
00894,3265
3419,8044
6409,3313
3454,5703
2637,4966
2472,6114
1219,3551
00690,8043
3308,4131
4557,6222
2546,4163
3003,3511
6414,8109
6625,3541
00645,6129
3017,6180
2406,6130
2498,5474
2855,8354
5534,3325
2618,3491
6805,3664
1467,8027
2613,6432
9934,3484
2887,5301
2486,4430
006205,5905
1402,5475
2438,5425
1220,6499
3090,3631
6288,6576
2302,5508
9930,6263
6128,3672
2488,1240
00885,5312
1560,4767
2881,4903
3050,2640
2412,4966
00913,1815
6531,6179
9906,6496
6805,5347
6024,5530
2515,4971
00895,8390
1725,8936
5243,3611
9938,3285
4438,4171
4977,4188
2453,6542
1776,3374
2615,3512
1101,3288
2520,3646
1817,4905
0052,4721
2530,8342
1720,3441
9917,8093
2236,4741
2852,8255
1626,3629
6592,8255
1526,5468
2480,4729
1590,6023
3013,6109
2405,5251
4958,6227
00737,8931
4148,6593
6937,6021
6854,8437
3026,8069
1337,5604
4906,4120
6715,3191
6776,6174
9929,4953
8926,3529
6257,3594
00757,6461
2114,2937
8462,8032
3450,2724
1102,8409
6916,3105
8016,6199
9933,5460
3030,6170
2607,6274
3003,4561
4576,4129
6754,6274
2603,4543
3032,6182
8422,4147
1733,4113
1538,8050
6790,9960
1563,6111
2911,8076
6282,3516
3703,6435
6202,8455
3714,6266
00668,3663
1597,8299
2436,1565
6541,5205
00646,8431
1604,3625
3038,3303
2645,8440
2357,4714
1512,3317
2258,8403
1210,5328
8374,6203
1760,4974
00910,3114
2606,2736
3010,3388
00851,6212
2353,5011
4958,6244
6269,1593
2399,6123
3231,2740
3652,3276
2820,6803
1802,6198
1503,2926
2201,8092
3189,5371
2029,6494
2601,8176
3033,5609
8271,6532
2376,5210
1603,8048
1773,6287
1702,4305
6581,4192
00735,8410
2014,3508
1903,6101
8442,6290
3653,5016
2492,8927
4755,6577
4930,6469
1456,5371
6669,8066
9907,3379
2417,3169
9938,3552
3694,4523
2034,1595
2108,6175
00830,6125
6155,8040
6806,4527
1514,5609
5871,8050
2379,6160
2207,3188
6414,6419
2409,8091
3694,4406
3679,3178
2032,3687
2515,5381
00657,4535
8210,3362
2327,8935
6281,8929
2540,6556
2360,5432
2834,2221
6534,3086
6757,8933
4526,3083
2603,3324
2547,2065
3015,4706
3049,8171
00733,6259
3017,5276
4555,5904
2020,4735
3715,1781
4904,3081
5906,3628
4137,5392
0057,3078
2397,5903
2393,3526
6672,4160
6558,4162
1342,3095
2314,3531
5907,6538
1773,1788
3019,4183
1449,5278
1736,5493
6230,4161
2101,5314
1215,4304
2025,8423
4540,6015
2206,5452
2910,8086
2467,3710
2405,5426
9955,2064
2478,8085
2801,4541
2514,6470
9910,5398
4569,2718
3257,4911
2414,9951
3044,4972
2464,5289
3266,8234
3149,6231
1338,8489
2049,5465
2610,3354
4912,3363
2481,5340
00902,8349
00709,2643
2608,4105
6668,3066
9921,6284
2467,3310
00692,5347
4133,5386
1319,5353
1434,8450
6271,3268
6835,6548
00929,4168
6598,2734
6216,8067
2849,5351
1525,8084
5292,6643
00882,1813
6669,2732
9943,5543
006206,8289
4164,4153
2539,6221
2912,5263
3583,2916
1723,4130
4916,3088
2809,8928
6205,4908
6438,3303
9904,6156
8103,3540
2353,6664
6197,8147
2609,3362
6196,3073
6201,8436
4426,5438
1435,5450
2105,5009
4938,6228
9905,3609
8481,4754
1339,6158
2069,6147
2539,5498
2816,4510
1210,3163
6449,3211
2375,6237
6423,6246
1304,1784
3094,3078
6674,3374
3708,3580
4739,5512
1904,4806
5706,5516
2546,4554
4943,6596
4961,2924
2530,4128
1722,3227
2540,6530
2062,6613
6214,3707
3209,6465
1795,5223
1533,3680
3209,6574
6438,8941
4766,6492
4583,6569
1726,3689
2385,3490
2480,8099
6756,3489
3593,8932
6792,3483
2345,6509
6794,5483
1710,5211
2207,6146
2642,8432
2466,3218
2543,2070
8016,3390
1319,6292
2929,8049
2316,1799
2520,4534
3712,3632
2369,3252
2006,6208
6005,3546
2548,8349
2104,4121
2059,5309
2433,1586
00912,5356
6957,6223
1907,6169
2468,6462
2707,5425
3229,5478
00915,3675
1609,3526
8021,6194
6214,3455
4956,6615
9958,6514
1312,3373
1218,2067
2460,5009
2368,8077
2454,6270
3048,6026
2838,3293
3036,3372
3054,4126
3533,8047
1324,3548
1444,2235
3443,6509
3669,5487
1413,5272
3665,6188
8114,4420
2038,3232
2337,4109
1414,4123
6281,006201
1730,6241
1305,3693
2915,6486
3708,5202
8201,6143
2380,8916
1708,6643
5285,6126
006207,4402
00762,5904
1321,3587
